DGP,Simulation,algorithm,time
7,10,SL:pps,
7,10,Bal:SL:ps,
7,10,Bal:SL:Yd,
7,10,Bal:SL:pps,
8,1,Krls:single,0.0139999999998963
8,1,SL:single,2.91100000000006
8,1,Krls:cross,0.0389999999999873
8,1,SL:cross,2.452
8,1,Krls:ps,0.0150000000001
8,1,SL:ps,3.20100000000002
8,1,Krls:pps,0.00600000000008549
8,1,SL:pps,2.54600000000005
8,1,Bal:SL:ps,0
8,1,Bal:SL:Yd,0
8,1,Bal:SL:pps,0.00300000000004275
8,2,Krls:single,0.0130000000000337
8,2,SL:single,3.38099999999997
8,2,Krls:cross,0.0720000000000027
8,2,SL:cross,1.90300000000002
8,2,Krls:ps,0.00900000000001455
8,2,SL:ps,2.76400000000001
8,2,Krls:pps,0.0080000000000382
8,2,SL:pps,2.09699999999998
8,2,Bal:SL:ps,0.000999999999976353
8,2,Bal:SL:Yd,0
8,2,Bal:SL:pps,0.00200000000006639
8,3,Krls:single,0.0040000000000191
8,3,SL:single,2.83699999999999
8,3,Krls:cross,0.0389999999999873
8,3,SL:cross,1.99400000000003
8,3,Krls:ps,0.0080000000000382
8,3,SL:ps,2.86699999999996
8,3,Krls:pps,0.0040000000000191
8,3,SL:pps,2.06399999999996
8,3,Bal:SL:ps,0.000999999999976353
8,3,Bal:SL:Yd,0.000999999999976353
8,3,Bal:SL:pps,0.000999999999976353
8,4,Krls:single,0.0080000000000382
8,4,SL:single,2.98599999999999
8,4,Krls:cross,0.0399999999999636
8,4,SL:cross,1.94299999999998
8,4,Krls:ps,0.0130000000000337
8,4,SL:ps,2.79299999999989
8,4,Krls:pps,0.0109999999999673
8,4,SL:pps,1.98400000000004
8,4,Bal:SL:ps,0
8,4,Bal:SL:Yd,0
8,4,Bal:SL:pps,0.000999999999976353
8,5,Krls:single,0.0119999999999436
8,5,SL:single,3.01599999999996
